"gene","PSOL_PASI_age_sex","ADL_pEASI_age_sex","AD_pEASI_age_sex","PSO_PASI_age_sex","Missing value count","Min"
"ENSG00000172164",,"0.0347784412284964",,,3,"0.0347784412284964"
"ENSG00000196639",,"0.0347784412284964",,,3,"0.0347784412284964"
"ENSG00000198730",,"0.0347784412284964",,,3,"0.0347784412284964"
"ENSG00000202515",,"0.0347784412284964",,,3,"0.0347784412284964"
"ENSG00000233008",,"0.0347784412284964",,,3,"0.0347784412284964"
"ENSG00000279796","0.0347863986372111",,,,3,"0.0347863986372111"
"ENSG00000204929","0.0348910029618645",,,,3,"0.0348910029618645"
"ENSG00000266385","0.0348910029618645",,,,3,"0.0348910029618645"
"ENSG00000016602",,"0.0350310543042887",,,3,"0.0350310543042887"
"ENSG00000118495","0.0350898507991843",,,,3,"0.0350898507991843"
"ENSG00000224831","0.0350898507991843",,,,3,"0.0350898507991843"
"ENSG00000243199","0.0350898507991843",,,,3,"0.0350898507991843"
"ENSG00000229419","0.0351021932635832",,,,3,"0.0351021932635832"
"ENSG00000107625","0.0351060138544158",,,,3,"0.0351060138544158"
"ENSG00000135828","0.0351267578746231",,,,3,"0.0351267578746231"
"ENSG00000164764","0.0351267578746231",,,,3,"0.0351267578746231"
"ENSG00000105374",,,"0.0351571809229123",,3,"0.0351571809229123"
"ENSG00000143061",,,"0.0351571809229123",,3,"0.0351571809229123"
"ENSG00000034239",,"0.0351621638543518",,,3,"0.0351621638543518"
"ENSG00000089597",,"0.0351621638543518",,,3,"0.0351621638543518"
"ENSG00000145757",,,"0.0351875867129873",,3,"0.0351875867129873"
"ENSG00000281195","0.0352447752602382",,,,3,"0.0352447752602382"
"ENSG00000137757","0.0354381212525577",,,,3,"0.0354381212525577"
"ENSG00000001167","0.0354955880764516",,,,3,"0.0354955880764516"
"ENSG00000041802","0.0354955880764516",,,,3,"0.0354955880764516"
"ENSG00000136273","0.0354955880764516",,,,3,"0.0354955880764516"
"ENSG00000137547","0.0354955880764516",,,,3,"0.0354955880764516"
"ENSG00000139233","0.0354955880764516",,,,3,"0.0354955880764516"
"ENSG00000080823","0.0355370297883756",,,,3,"0.0355370297883756"
"ENSG00000120265","0.0356110420564232",,,,3,"0.0356110420564232"
"ENSG00000267028",,"0.0356867003244934",,,3,"0.0356867003244934"
"ENSG00000015285",,"0.0357712978401003",,,3,"0.0357712978401003"
"ENSG00000131373",,"0.0357712978401003",,,3,"0.0357712978401003"
"ENSG00000166682","0.0358455261167944",,,,3,"0.0358455261167944"
"ENSG00000279852","0.0359089818518704",,,,3,"0.0359089818518704"
"ENSG00000141098","0.0359115501683093",,,,3,"0.0359115501683093"
"ENSG00000103544",,"0.0360841286838883",,,3,"0.0360841286838883"
"ENSG00000115484","0.0360957807405338",,,,3,"0.0360957807405338"
"ENSG00000168944","0.0361234020620721",,,,3,"0.0361234020620721"
"ENSG00000143226",,"0.0361974127102566",,,3,"0.0361974127102566"
"ENSG00000118849",,"0.0362212839212235",,,3,"0.0362212839212235"
